"Key","Enabled","Is Group","Parent SAT Product or Service Key","Key Name","Description"
"10101500",1,1,"","10101500 - Animales vivos de granja","Animales vivos de granja"
"10101600",1,1,"","10101600 - Pájaros y aves de corral vivos","Pájaros y aves de corral vivos"
"10101700",1,1,"","10101700 - Peces vivos","Peces vivos"
"10101800",1,1,"","10101800 - Mariscos e invertebrados acuáticos vivos","Mariscos e invertebrados acuáticos vivos"
"10101900",1,1,"","10101900 - Insectos vivos","Insectos vivos"
"10102000",1,1,"","10102000 - Animales salvajes vivos","Animales salvajes vivos"
"10102100",1,1,"","10102100 - Huevos de aves para incubar","Huevos de aves para incubar"
"10111300",1,1,"","10111300 - Accesorios, equipo y tratamientos para los animales domésticos","Accesorios, equipo y tratamientos para los animales domésticos"
"10121500",1,1,"","10121500 - Pienso para ganado","Pienso para ganado"
"10121600",1,1,"","10121600 - Alimento para pájaros y aves de corral","Alimento para pájaros y aves de corral"
"10121700",1,1,"","10121700 - Alimento para peces","Alimento para peces"
"10121800",1,1,"","10121800 - Alimento para perros y gatos","Alimento para perros y gatos"
"10121900",1,1,"","10121900 - Alimento para roedores","Alimento para roedores"
"10122000",1,1,"","10122000 - Alimento para reptiles","Alimento para reptiles"
"10122100",1,1,"","10122100 - Comida para animales variados","Comida para animales variados"
"10131500",1,1,"","10131500 - Cobertizos para animales","Cobertizos para animales"
"10131600",1,1,"","10131600 - Recipientes para animales","Recipientes para animales"
"10131700",1,1,"","10131700 - Hábitat para animales","Hábitat para animales"
"10141500",1,1,"","10141500 - Talabartería","Talabartería"
"10141600",1,1,"","10141600 - Arneses","Arneses"
"10151500",1,1,"","10151500 - Semillas y plántulas vegetales","Semillas y plántulas vegetales"
"10151600",1,1,"","10151600 - Semillas de cereales","Semillas de cereales"
"10151700",1,1,"","10151700 - Semillas y plántulas de hierba y forraje","Semillas y plántulas de hierba y forraje"
"10151800",1,1,"","10151800 - Semillas y plántulas de especias","Semillas y plántulas de especias"
"10151900",1,1,"","10151900 - Semillas, bulbos, plántulas y esquejes de flores","Semillas, bulbos, plántulas y esquejes de flores"
"10152000",1,1,"","10152000 - Semillas y esquejes de árboles y arbustos","Semillas y esquejes de árboles y arbustos"
"10152100",1,1,"","10152100 - Residuos que no sean de piensos","Residuos que no sean de piensos"
"10152200",1,1,"","10152200 - Semillas de cultivos fibrosos y semilleros","Semillas de cultivos fibrosos y semilleros"
"10152300",1,1,"","10152300 - Plántulas y semillas de leguminosas","Plántulas y semillas de leguminosas"
"10152400",1,1,"","10152400 - Plántulas y semillas de tubérculos","Plántulas y semillas de tubérculos"
"10161500",1,1,"","10161500 - Árboles y arbustos","Árboles y arbustos"
"10161600",1,1,"","10161600 - Plantas florales","Plantas florales"
"10161800",1,1,"","10161800 - Plantas sin flor","Plantas sin flor"
"10161900",1,1,"","10161900 - Productos florales secos","Productos florales secos"
"10171500",1,1,"","10171500 - Abonos orgánicos y nutrientes para plantas","Abonos orgánicos y nutrientes para plantas"
"10171600",1,1,"","10171600 - Abonos químicos y nutrientes para plantas","Abonos químicos y nutrientes para plantas"
"10171700",1,1,"","10171700 - Herbicidas","Herbicidas"
"10171800",1,1,"","10171800 - Acondicionadores de suelos","Acondicionadores de suelos"
"10191500",1,1,"","10191500 - Pesticidas o repelentes de plagas","Pesticidas o repelentes de plagas"
"10191700",1,1,"","10191700 - Dispositivos para control de plagas","Dispositivos para control de plagas"
"10201500",1,1,"","10201500 - Rosales vivos azules o lavanda o púrpura","Rosales vivos azules o lavanda o púrpura"
"10201600",1,1,"","10201600 - Rosales vivos chocolate o marrón","Rosales vivos chocolate o marrón"
"10201700",1,1,"","10201700 - Rosales vivos crema","Rosales vivos crema"
"10201800",1,1,"","10201800 - Rosales vivos verdes o lima","Rosales vivos verdes o lima"
"10201900",1,1,"","10201900 - Rosales vivos rosado claro","Rosales vivos rosado claro"
"10202000",1,1,"","10202000 - Rosales vivos multicolor rosados","Rosales vivos multicolor rosados"
"10202100",1,1,"","10202100 - Rosales vivos anaranjados","Rosales vivos anaranjados"
"10202200",1,1,"","10202200 - Rosales vivos durazno","Rosales vivos durazno"
"10202300",1,1,"","10202300 - Rosales vivos rosados","Rosales vivos rosados"
"10202400",1,1,"","10202400 - Rosales vivos rojos o burgundy","Rosales vivos rojos o burgundy"
"10202500",1,1,"","10202500 - Rosales vivos sweetheart","Rosales vivos sweetheart"
"10202600",1,1,"","10202600 - Rosales vivos blancos","Rosales vivos blancos"
"10202700",1,1,"","10202700 - Rosales vivos amarillos","Rosales vivos amarillos"
"10202800",1,1,"","10202800 - Rosales vivos spray","Rosales vivos spray"
"10211500",1,1,"","10211500 - Anturios vivos","Anturios vivos"
"10211600",1,1,"","10211600 - Allium vivo","Allium vivo"
"10211700",1,1,"","10211700 - Astromelia viva","Astromelia viva"
"10211800",1,1,"","10211800 - Amaranto vivo","Amaranto vivo"
"10211900",1,1,"","10211900 - Amaryllis vivo","Amaryllis vivo"
"10212000",1,1,"","10212000 - Anémona viva","Anémona viva"
"10212100",1,1,"","10212100 - Asclepia viva","Asclepia viva"
"10212200",1,1,"","10212200 - Aster viva","Aster viva"
"10212300",1,1,"","10212300 - Berzelia viva","Berzelia viva"
"10212400",1,1,"","10212400 - Bouvaria viva","Bouvaria viva"
"10212500",1,1,"","10212500 - Brodiaea viva","Brodiaea viva"
"10212600",1,1,"","10212600 - Calla viva","Calla viva"
"10212800",1,1,"","10212800 - Celosia viva","Celosia viva"
"10212900",1,1,"","10212900 - Narciso vivo","Narciso vivo"
"10213000",1,1,"","10213000 - Dalia viva","Dalia viva"
"10213100",1,1,"","10213100 - Delphinium vivo","Delphinium vivo"
"10213200",1,1,"","10213200 - Clavel (dianthus) vivo","Clavel (dianthus) vivo"
"10213300",1,1,"","10213300 - Eremruses vivas","Eremruses vivas"
"10213400",1,1,"","10213400 - Brezo (erica) viva","Brezo (erica) viva"
"10213500",1,1,"","10213500 - Euphorbia viva","Euphorbia viva"
"10213600",1,1,"","10213600 - Fresia viva","Fresia viva"
"10213700",1,1,"","10213700 - Ajedrezada viva","Ajedrezada viva"
"10213800",1,1,"","10213800 - Hiniesta viva","Hiniesta viva"
"10213900",1,1,"","10213900 - Margarita viva","Margarita viva"
"10214000",1,1,"","10214000 - Jengibre vivo","Jengibre vivo"
