1 credit is consumed every time a CFDI gets stamped,1 crédito es consumido cada vez que se timbra un CFDI,
A Cancellation Reason is required to cancel this payment entry.,Un Motivo de Cancelación es necesario para cancelar este pago.,
A Cancellation Reason is required to cancel this sales invoice.,Un Motivo de Cancelación es necesario para cancelar esta factura de venta.,
A Cancellation Reason is required.,Un Motivo de Cancelación es necesario.,
Address {0} has no zip code,La dirección {0} no tiene código postal,
Attach PDF,Adjuntar PDF,
Attach XML,Adjuntar XML,
Available credits,Créditos disponibles,
Branch: {0},Sucursal: {0},
Cancellation,Cancelación,
Cancellation acknowledgement,Acuse de cancelación,
Cancellation reason,Motivo de cancelación,
Cancellation Reason,Motivo de Cancelación,
Certificate file (.cer),Archivo de certificado (.cer),
Certificate file not configured,Archivo de certificado no configurado,
Certificate files and password are not valid,Los archivos de certificado y contraseña no son válidos,
Certificate files and password are valid,Los archivos de certificado y contraseña son válidos,
Certificate key file (.key),Archivo de clave de certificado (.key),
CFDI,CFDI,
CFDI Actions,Acciones de CFDI,
CFDI Stamping Settings,Configuración de Timbrado de CFDI,
CFDI Web Service Error,Error del Web Service de CFDI,
Check this field if the cancelled invoice needs to have another related invoice,Marca este campo si la factura cancelada necesita tener otra factura relacionada,
CLABE,CLABE,
Company for which this certificate will be used to sign CFDI,Compañía para la cual este certificado será usado para firmar CFDI,
Company {0} has no address,La compañía {0} no tiene dirección,
Company {0} has no tax regime,La compañía {0} no tiene régimen fiscal,
Company's Digital Signing Certificate to sign CFDI,Certificado de Sello Digital de la empresa para firmar CFDI,
CURP,CURP,
Customer address {0} has no zip code,La dirección del cliente {0} no tiene código postal,
Customer {0} has no tax ID,El cliente {0} no tiene RFC,
Customer {0} has no tax regime,El cliente {0} no tiene régimen fiscal,
Digital Signing Certificate,Certificado de Sello Digital,
ERPNext Mexico Compliance,ERPNext Cumplimiento para México,
File {0} attached,Archivo {0} adjuntado,
From {},De {},
IMSS,IMSS,
"Indicates the form in which a payment was made, in accordance with the SAT catalog of forms of payment","Indica la forma en la que se realiza un pago, de acuerdo al catálogo de formas de pago del SAT",
"Indicates the method used to make a payment, in accordance with the SAT catalog of payment methods","Indica el método usado para realizar un pago, de acuerdo al catálogo de métodos de pago del SAT",
Invalid Cancellation Reason,Motivo de Cancelación inválido,
Invalid CFDI,CFDI Inválido,
Invalid CURP,CURP Inválido,
Invalid CURP format,Formato de CURP inválido,
Invalid Document Type,Tipo de Documento inválido,
Invalid RFC,RFC Inválido,
Invalid SSN,NSS Inválido,
Invalid SSN format,Formato de NSS inválido,
Invalid Tax Id,RFC Inválido,
Invoice has no billing address,La factura no tiene dirección de facturación,
Key,Clave,
Key file not configured,Archivo de llave no configurado,
Key Name,Clave Nombre,
Legal name: {0},Razón social: {0},
Mexico Compliance,Cumplimiento para México,
Parent SAT Product or Service Key,Clave de Producto o Servicio del SAT padre,
Password for the certificate key,Contraseña para la llave del certificado,
Reference {0} has not being stamped,La referencia {0} no ha sido timbrada,
Requires relationship,Requiere relación,
RFC,RFC,
RFC format does not comply with SAT specifications,El formato del RFC no cumple con las especificaciones del SAT,
RFC: {0},RFC: {0},
SAT,SAT,
SAT Catalogs,Catálogos del SAT,
SAT CFDI Use,Uso de CFDI SAT,
SAT CFDI Use Tax Regime,Régimen Fiscal del Uso de CFDI SAT,
SAT Payment Method,Forma de Pago SAT,
SAT Payment Mode,Forma de Pago SAT,
SAT Payment Option,Método de Pago SAT,
SAT Product or Service Key,Clave SAT de Producto o Servicio,
SAT Tax Regime,Régimen Fiscal SAT,
SAT UOM Key,Clave SAT de UDM,
Second Last Name,Apellido Paterno,
Select a Certificate to sign the CFDI,Selecciona un Certificado para firmar el CFDI,
SSN,NSS,
Stamp CFDI,Timbrar CFDI,
Stamped XML,XML timbrado,
Substitute invoice,Factura sustituta,
Substitute payment entry,Entrada de pago sustituta,
Tax Id does not comply with SAT specifications,El RFC cumple con las especificaciones del SAT,
Tax Regime,Régimen Fiscal,
Tax regimes,Regímenes fiscales,
Tax Type,Tipo de Impuesto,
Test mode,Modo de pruebas,
The Cancellation Reason requires a substitute invoice.,El motivo de cancelación requiere una factura sustituta,
The Cancellation Reason requires a substitute payment entry.,El motivo de cancelación requiere una entrada de pago sustituta,
The reason of cancellation {} requires a substitute invoice,El motivo de cancelación {} requiere una factura sustituta,
To {},A {},
Validate Certificate,Validar Certificado,
Web Service,Web Service,
XML,XML,
Zip code,Código postal,
